Reference,Qty,Value,Footprint,MPN,Manufacturer,LCSC,LC_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
C9,1,100n,0402,CL05B104KO5NNNC,Samsung Electro-Mechanics,C1525,,,https://www.lcsc.com/datasheet/C1525.pdf,,,
C10,1,10u,1206,CL31A106KBHNNNE,Samsung Electro-Mechanics,C13585,,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C13585,,,
"C12,C11,C19,C20",4,22u,0805,CL21A226MAQNNNE,Samsung Electro-Mechanics,C45783,,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C45783,,,
"C15,C8,C13,C7",4,1u,0603,CL10A105KB8NNNC,Samsung Electro-Mechanics,C15849,,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C15849,,,
"C16,C4,C22,C26,C23,C28,C24,C29,C25,C27,C30,C2",12,10u,0805,CL31A106KBHNNNE,Samsung Electro-Mechanics,C13585,,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C13585,,,
"C21,C3,C17,C5,C18,C14,C31,C1,C33,C6,C32",11,100n,0603,CC0603KRX7R9BB104,YAGEO,C14663,,,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C14663,,,
D5,1,SMBJ28CA,SMB_TVS,SMBJ28CA,R+O,C19077583,,,https://datasheet.lcsc.com/datasheet/pdf/29e006ceaae5808e6d17d021de7bda89.pdf?productCode=C19077583,,,
"D6,D1",2,LED,0603,KT-0603R,Hubei KENTO Elec,C2286,,,https://datasheet.lcsc.com/datasheet/pdf/011ec3e8cb1e825f6961d29bc4db4c7a.pdf?productCode=C2286,,,
"D7,D11,D2,D12,D3,D10,D8,D9,D4",9,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,1N5819WS,Guangdong Hottech,C191023,,,https://datasheet.lcsc.com/datasheet/pdf/c7a6590686b7be2f86b8eed4480e569c.pdf?productCode=C191023,,,
J1,1,A,TestPoint_Pad_4.0x4.0mm,,,,,,,,,
J2,1,BATT,TestPoint_Pad_4.0x4.0mm,,,,,,,,,
J3,1,Conn_01x05,,,,,,,,,,
J4,1,B,TestPoint_Pad_4.0x4.0mm,,,,,,,,,
J5,1,GND,TestPoint_Pad_4.0x4.0mm,,,,,,,,,
J6,1,C,TestPoint_Pad_4.0x4.0mm,,,,,,,,,
L1,1,600ohm@100MHz,L0603,GZ1608D601TF,Sunlord,C1002,,,https://datasheet.lcsc.com/datasheet/pdf/1810231210_Sunlord-Shenzhen-Sunlord-Electronics-GZ1608D601TF_C1002.pdf,,,
L2,1,15uH,IND-SMD_L7.1-W6.6,APH0630T150M,APV,C5349699,,,https://datasheet.lcsc.com/datasheet/pdf/f62bfcad7977d274b7ac9da719c32635.pdf?productCode=C5349699,,,
P1,1,SM08B-SRSS-TB,CONN-TH_SM08B-SRSS-TB-LF-SN,SM08B-SRSS-TB(LF)(SN),JST,C160407,,,https://datasheet.lcsc.com/datasheet/pdf/e03a82bcc66e3c3589917313e54d45e2.pdf?productCode=C160407,,,
"Q5,Q1,Q4,Q3,Q6,Q2",6,Q_NMOS_GDS,POWERVDFN-8_L6.2-W5.2-P1.27-LS6.0-BL,JMSH0401AGQ,Jiangsu JieJie Microelectronics,C7527437,,,https://datasheet.lcsc.com/datasheet/pdf/279cd1f797cb03731ab717b6e54fa0a8.pdf?productCode=C7527437,,,
R3,1,47k,0402,0402WGF4702TCE,UNI-ROYAL,C25792,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C25792,,,
R5,1,3k,0603,0603WAF3001T5E,UNI-ROYAL,C4211,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C4211,,,
"R7,R8,R6",3,220R,0603,0603WAF2200T5E,UNI-ROYAL,C22962,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C22962,,,
"R9,R13,R10,R12,R14,R11",6,33k,0603,0603WAF3302T5E,UNI-ROYAL,C4216,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C4216,,,
"R15,R34",2,1k,0603,0603WAF1001T5E,UNI-ROYAL,C21190,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C21190,,,
"R16,R17,R18,R1",4,3k3,0603,0603WAF3301T5E,UNI-ROYAL,C22978,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C22978,,,
R25,1,100k,0603,0603WAF1003T5E,UNI-ROYAL,C25803,,,https://www.lcsc.com/datasheet/C25803.pdf,,,
"R27,R29,R19,R20,R21,R28",6,2.2R,0603,0603WAF220JT5E,UNI-ROYAL,C25877,,,https://www.lcsc.com/datasheet/C25877.pdf,,,
"R30,R2,R4,R26",4,10k,0603,0603WAF1002T5E,UNI-ROYAL,C25804,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C25804,,,
"R32,R24,R22,R31,R33,R23",6,10R,0603,0603WAF100JT5E,UNI-ROYAL,C22859,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C22859,,,
R35,1,3W 0m5,2512,HoCG251230m50F4S,Milliohm,C49067823,,,https://datasheet.lcsc.com/datasheet/pdf/30711c8af67d1415b1e835836c638c68.pdf?productCode=C49067823,,,
TP1,1,GND,,,,,,,,,,
TP2,1,+BATT,,,,,,,,,,
"TP5,TP4,TP3,TP6",4,TestPoint,,,,,,,,,,
U1,1,LMR51420YDDCR,SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,LMR51420YDDCR,TI,C5383002,,,https://datasheet.lcsc.com/datasheet/pdf/5e19be5dd53d60c1459b26475bdff8d3.pdf?productCode=C5383002,,,
U2,1,FD6288Q,WQFN-24_L4.0-W4.0-P0.50-TL-EP2.7,HXFD6288QFN24,ZHHXDZ,C54423134,,,https://datasheet.lcsc.com/datasheet/pdf/eacaed58414ad862529f4184ac99e2d2.pdf?productCode=C54423134,,,
U3,1,AT32F421K8T7,LQFP-32_L7.0-W7.0-P0.80-LS9.0-BL,AT32F421K8T7,ARTERY,C3029575,,,https://datasheet.lcsc.com/datasheet/pdf/e5c4b590703670f8b54211cd43785405.pdf?productCode=C3029575,,,
U4,1,TLV76733DRVR,WSON-6_L2.0-W2.0-P0.65-TL-EP,TLV76733DRVR,TI,C2848334,,,https://datasheet.lcsc.com/datasheet/pdf/8f9ae569d9e00b4f6c6b122dbc277210.pdf?productCode=C2848334,,,
U5,1,INA180A2,SOT-23-5,INA180A2IDBVR,TI,C192764,,,https://datasheet.lcsc.com/datasheet/pdf/677f1f8d058cefecb8bbd499517bf8e1.pdf?productCode=C192764,,,
